experiment_id,method_id,method_label,chain,seed_id,seed_value,seed_group,split,n,auc_no_gate,balanced_accuracy,sensitivity,specificity,auc_hard_030,auc_delta_no_gate_minus_hard_030
experiment_04_alice_model_no_hard_gate,no_gate_l2_linear,No gate + L2 + Linear,beta,S13,4496119368746308026,ordinary,internal_oof,169,0.749767008387698,0.6707051879465673,0.6206896551724138,0.7207207207207207,0.6715594905250079,0.0782075178626902
experiment_04_alice_model_no_hard_gate,no_gate_l2_mlp,No gate + L2 + MLP,beta,S01,777,lucky,internal_oof,169,0.7328362845604225,0.7034016775396086,0.5689655172413793,0.8378378378378378,0.6328828828828829,0.09995340167753963
experiment_04_alice_model_no_hard_gate,no_gate_l2_mlp,No gate + L2 + MLP,beta,S02,2232016200,lucky,internal_oof,169,0.726157191674433,0.6857719788754271,0.5517241379310345,0.8198198198198198,0.617816091954023,0.10834109972041006
experiment_04_alice_model_no_hard_gate,no_gate_l2_mlp,No gate + L2 + MLP,beta,S10,8365301900047924020,lucky,internal_oof,169,0.730040385212799,0.7026250388319354,0.603448275862069,0.8018018018018018,0.616107486797142,0.11393289841565701
experiment_04_alice_model_no_hard_gate,no_gate_l2_mlp,No gate + L2 + MLP,beta,S04,6902826956892357559,moderate,internal_oof,169,0.7252252252252251,0.6891115253184219,0.603448275862069,0.7747747747747747,0.6392513202858031,0.08597390493942203
experiment_04_alice_model_no_hard_gate,no_gate_l2_mlp,No gate + L2 + MLP,beta,S05,2712386035810402826,moderate,internal_oof,169,0.7269338303821062,0.6797141969555762,0.6206896551724138,0.7387387387387387,0.6203013358185772,0.10663249456352908
experiment_04_alice_model_no_hard_gate,no_gate_l2_mlp,No gate + L2 + MLP,beta,S11,2817756917657900866,moderate,internal_oof,169,0.7328362845604226,0.6981205343274308,0.603448275862069,0.7927927927927928,0.6218546132339237,0.11098167132649894
experiment_04_alice_model_no_hard_gate,no_gate_l2_mlp,No gate + L2 + MLP,beta,S07,11327508419378867602,ordinary,internal_oof,169,0.7216526871699286,0.7116340478409444,0.603448275862069,0.8198198198198198,0.6050792171481827,0.1165734700217459
experiment_04_alice_model_no_hard_gate,no_gate_l2_mlp,No gate + L2 + MLP,beta,S08,10762549616907469203,ordinary,internal_oof,169,0.7333022677850266,0.7063529046287667,0.6379310344827587,0.7747747747747747,0.626359117738428,0.1069431500465986
experiment_04_alice_model_no_hard_gate,no_gate_l2_mlp,No gate + L2 + MLP,beta,S12,10694063091131643398,ordinary,internal_oof,169,0.72739981360671,0.7153619136377758,0.6379310344827587,0.7927927927927928,0.6355234544889717,0.09187635911773828
experiment_04_alice_model_no_hard_gate,no_gate_l2_mlp,No gate + L2 + MLP,beta,S13,4496119368746308026,ordinary,internal_oof,169,0.7322149735942839,0.7112457284871079,0.6206896551724138,0.8018018018018018,0.6349021435228333,0.09731283007145064
experiment_04_alice_model_no_hard_gate,no_gate_l1_linear,No gate + L1 + Linear,alpha,S01,777,lucky,locked_external,109,0.6849315068493151,0.6824581430745814,0.6388888888888888,0.726027397260274,0.8139269406392694,-0.12899543378995426
experiment_04_alice_model_no_hard_gate,no_gate_l1_linear,No gate + L1 + Linear,alpha,S02,2232016200,lucky,locked_external,109,0.68455098934551,0.6822678843226788,0.6111111111111112,0.7534246575342466,0.8291476407914764,-0.14459665144596645
experiment_04_alice_model_no_hard_gate,no_gate_l1_linear,No gate + L1 + Linear,alpha,S10,8365301900047924020,lucky,locked_external,109,0.6556316590563167,0.647640791476408,0.5555555555555556,0.7397260273972602,0.8192541856925418,-0.16362252663622512
experiment_04_alice_model_no_hard_gate,no_gate_l1_linear,No gate + L1 + Linear,alpha,S04,6902826956892357559,moderate,locked_external,109,0.6777016742770168,0.6824581430745814,0.6388888888888888,0.726027397260274,0.8230593607305936,-0.14535768645357683
experiment_04_alice_model_no_hard_gate,no_gate_l1_linear,No gate + L1 + Linear,alpha,S05,2712386035810402826,moderate,locked_external,109,0.645738203957382,0.6615296803652968,0.5833333333333334,0.7397260273972602,0.8139269406392694,-0.16818873668188739
experiment_04_alice_model_no_hard_gate,no_gate_l1_linear,No gate + L1 + Linear,alpha,S11,2817756917657900866,moderate,locked_external,109,0.6853120243531202,0.7102359208523592,0.6944444444444444,0.726027397260274,0.8196347031963471,-0.1343226788432269
experiment_04_alice_model_no_hard_gate,no_gate_l1_linear,No gate + L1 + Linear,alpha,S07,11327508419378867602,ordinary,locked_external,109,0.6830289193302893,0.6824581430745814,0.6388888888888888,0.726027397260274,0.8234398782343988,-0.14041095890410948
experiment_04_alice_model_no_hard_gate,no_gate_l1_linear,No gate + L1 + Linear,alpha,S08,10762549616907469203,ordinary,locked_external,109,0.6529680365296803,0.633751902587519,0.5277777777777778,0.7397260273972602,0.8184931506849314,-0.16552511415525117
experiment_04_alice_model_no_hard_gate,no_gate_l1_linear,No gate + L1 + Linear,alpha,S12,10694063091131643398,ordinary,locked_external,109,0.6643835616438356,0.6756088280060882,0.6388888888888888,0.7123287671232876,0.8249619482496194,-0.16057838660578383
experiment_04_alice_model_no_hard_gate,no_gate_l1_linear,No gate + L1 + Linear,alpha,S13,4496119368746308026,ordinary,locked_external,109,0.6590563165905632,0.6407914764079148,0.5555555555555556,0.726027397260274,0.8295281582952816,-0.1704718417047184
experiment_04_alice_model_no_hard_gate,no_gate_l1_mlp,No gate + L1 + MLP,alpha,S01,777,lucky,locked_external,109,0.797945205479452,0.7368721461187215,0.5833333333333334,0.8904109589041096,0.8839421613394215,-0.08599695585996947
experiment_04_alice_model_no_hard_gate,no_gate_l1_mlp,No gate + L1 + MLP,alpha,S02,2232016200,lucky,locked_external,109,0.8017503805175038,0.7505707762557078,0.5833333333333334,0.9178082191780822,0.8816590563165906,-0.07990867579908678
experiment_04_alice_model_no_hard_gate,no_gate_l1_mlp,No gate + L1 + MLP,alpha,S10,8365301900047924020,lucky,locked_external,109,0.8074581430745815,0.7505707762557078,0.5833333333333334,0.9178082191780822,0.8816590563165905,-0.07420091324200895
experiment_04_alice_model_no_hard_gate,no_gate_l1_mlp,No gate + L1 + MLP,alpha,S04,6902826956892357559,moderate,locked_external,109,0.7960426179604263,0.7368721461187215,0.5833333333333334,0.8904109589041096,0.8808980213089802,-0.0848554033485539
experiment_04_alice_model_no_hard_gate,no_gate_l1_mlp,No gate + L1 + MLP,alpha,S05,2712386035810402826,moderate,locked_external,109,0.8009893455098935,0.7505707762557078,0.5833333333333334,0.9178082191780822,0.8801369863013699,-0.0791476407914764
